,thresholds,fpr,tpr
260,0.027121219784021378,0.062036356665921215,0.9262
261,0.027091188356280327,0.06256669116002683,0.9262
262,0.02709093876183033,0.06257947030446312,0.9262
263,0.026820851489901543,0.06705217085716111,0.9262
264,0.02682015672326088,0.06706495000159739,0.9262
265,0.026797736063599586,0.06746749305134021,0.9262
266,0.026797441765666008,0.06748027219577649,0.9262
267,0.0267955232411623,0.06749944091243092,0.9262
268,0.02679436467587948,0.06749944091243092,0.9264
269,0.026645082980394363,0.07025334653844925,0.9264
270,0.026644982397556305,0.07026612568288552,0.9264
271,0.02639404498040676,0.07471326794671097,0.9264
272,0.02639380283653736,0.07472604709114725,0.9264
273,0.02631494402885437,0.07618925912910131,0.9264
274,0.02631477825343609,0.07618925912910131,0.9266
275,0.026209723204374313,0.0779463914890898,0.9266
276,0.026209713891148567,0.07795917063352609,0.9266
277,0.026134580373764038,0.07933292866042618,0.9266
278,0.02613343857228756,0.07934570780486247,0.9266
279,0.025837231427431107,0.08482157119580844,0.9266
280,0.02583654597401619,0.08482157119580844,0.9268
281,0.025834115222096443,0.08486629820133543,0.9268
282,0.02583341859281063,0.0848790773457717,0.9268
283,0.025825325399637222,0.08501964793457079,0.9268
284,0.025825204327702522,0.08503242707900706,0.9268
285,0.025560984387993813,0.0901504744257372,0.9268
286,0.02556047961115837,0.09016325357017348,0.9268
287,0.025359775871038437,0.09408645091211143,0.9268
288,0.025359755381941795,0.09408645091211143,0.927
289,0.02533562108874321,0.09454650011181752,0.927
290,0.02533506043255329,0.09455927925625379,0.927
291,0.02516927383840084,0.09746653461550749,0.927
292,0.025168556720018387,0.09747931375994377,0.927
293,0.02511901594698429,0.09838663301491965,0.927
294,0.025118699297308922,0.09839941215935594,0.927
295,0.025105932727456093,0.09869333248139037,0.927
296,0.02510576881468296,0.09870611162582665,0.927
297,0.025084950029850006,0.09914699210887831,0.927
298,0.02508462965488434,0.09915977125331459,0.927
299,0.024954795837402344,0.10169643142391617,0.927
300,0.02495463751256466,0.10170921056835244,0.927
301,0.02488480880856514,0.10296795629532603,0.927
302,0.024884609505534172,0.10296795629532603,0.9272
303,0.024838482961058617,0.10390722341139261,0.9272
304,0.024838412180542946,0.10392000255582888,0.9272
305,0.024783212691545486,0.10494872368294943,0.9272
306,0.024783005937933922,0.1049615028273857,0.9272
307,0.024635788053274155,0.10775374588671288,0.9272
308,0.024635378271341324,0.10776652503114917,0.9272
309,0.02456827089190483,0.10912111434139485,0.9272
310,0.024568229913711548,0.10913389348583112,0.9272
311,0.024480022490024567,0.11085268841251078,0.9272
312,0.02447948418557644,0.11086546755694707,0.9272
313,0.02441142126917839,0.11216255071722948,0.9272
314,0.0244109109044075,0.11216255071722948,0.9274
315,0.024363648146390915,0.11308264911664163,0.9274
316,0.024363240227103233,0.11309542826107792,0.9274
317,0.0239393413066864,0.12179163604996646,0.9274
318,0.023939210921525955,0.12179163604996646,0.9276
319,0.023868035525083542,0.12335069167119261,0.9276
320,0.023867778480052948,0.12336347081562889,0.9276
321,0.02374628745019436,0.12594485799175745,0.9276
322,0.02374495379626751,0.12595763713619373,0.9276
323,0.02346944808959961,0.13126098207724993,0.9276
324,0.023469122126698494,0.13126098207724993,0.9278
325,0.023462073877453804,0.13142711095492157,0.9278
326,0.023461926728487015,0.13143989009935786,0.9278
327,0.023376524448394775,0.13311395802051051,0.9278
328,0.02337648533284664,0.1331267371649468,0.9278
329,0.023271555081009865,0.13540142487460466,0.9278
330,0.02327083982527256,0.13541420401904092,0.9278
331,0.02320936508476734,0.13657071659052428,0.9278
332,0.023209363222122192,0.13658349573496054,0.9278
333,0.02319805510342121,0.13680713076259546,0.9278
334,0.023197971284389496,0.13681990990703172,0.9278
335,0.023001467809081078,0.14027027890482732,0.9278
336,0.02300146222114563,0.14027027890482732,0.928
337,0.0226417426019907,0.1472029647615092,0.928
338,0.022640572860836983,0.1472157439059455,0.928
339,0.022637836635112762,0.1472796396281269,0.928
340,0.022637661546468735,0.1472924187725632,0.928
341,0.02262837067246437,0.14744576850579855,0.928
342,0.022628113627433777,0.1474585476502348,0.928
343,0.022607039660215378,0.14790581770550462,0.928
344,0.022606810554862022,0.1479185968499409,0.928
345,0.02256358042359352,0.1487172933772084,0.928
346,0.022563494741916656,0.14873007252164466,0.928
347,0.02255696803331375,0.14883230567713493,0.928
348,0.02255643717944622,0.1488450848215712,0.928
